lga_code,Local Government Area,population2016,population2017,Area(km2),population density(persons/km2)
20110,Alpine (S),12450,12515,4788.2,2.6
20260,Ararat (RC),11707,11723,4211.1,2.8
20570,Ballarat (C),103407,105328,739,142.5
20660,Banyule (C),127693,129341,62.5,2068.1
20740,Bass Coast (S),33317,34223,865.8,39.5
20830,Baw Baw (S),49008,50364,4027.6,12.5
20910,Bayside (C),102737,104030,37.2,2795.7
21010,Benalla (RC),13962,13960,2352.6,5.9
21110,Boroondara (C),177361,179446,60.2,2982
21180,Brimbank (C),205741,208443,123.4,1689.2
21270,Buloke (S),6230,6151,8000.4,0.8
21370,Campaspe (S),37429,37463,4518.9,8.3
21450,Cardinia (S),97625,102516,1282.6,79.9
21610,Casey (C),313521,327380,409.4,799.6
21670,Central Goldfields (S),13012,13073,1532.8,8.5
21750,Colac-Otway (S),21359,21436,3437.5,6.2
21830,Corangamite (S),16133,16086,4407.5,3.6
21890,Darebin (C),155022,158553,53.5,2965.2
22110,East Gippsland (S),45426,45960,20940.2,2.2
22170,Frankston (C),139511,140708,129.6,1085.7
22250,Gannawarra (S),10563,10563,3735.3,2.8
22310,Glen Eira (C),149012,151746,38.7,3922
22410,Glenelg (S),19726,19644,6218.6,3.2
22490,Golden Plains (S),21929,22480,2703.4,8.3
22620,Greater Bendigo (C),111783,113617,3000,37.9
22670,Greater Dandenong (C),160952,164148,129.5,1267.1
22750,Greater Geelong (C),238603,244798,1248,196.2
22830,Greater Shepparton (C),65076,65593,2421.9,27.1
22910,Hepburn (S),15560,15668,1473,10.6
22980,Hindmarsh (S),5741,5677,7524.2,0.8
23110,Hobsons Bay (C),93392,94984,64.2,1478.6
23190,Horsham (RC),19817,19833,4266.8,4.6
23270,Hume (C),207830,215928,503.9,428.6
23350,Indigo (S),16035,16220,2040.1,8
23430,Kingston (C) (Vic.),159023,161089,91.4,1763.1
23670,Knox (C),160665,162116,113.9,1423.2
23810,Latrobe (C) (Vic.),74329,74612,1425.6,52.3
23940,Loddon (S),7555,7505,6696.4,1.1
24130,Macedon Ranges (S),47512,48438,1748.3,27.7
24210,Manningham (C),122902,124517,113.3,1098.5
24250,Mansfield (S),8605,8725,3843.9,2.3
24330,Maribyrnong (C),87355,89705,31.2,2872.8
24410,Maroondah (C),114979,116489,61.4,1896.9
24600,Melbourne (C),148039,159992,37.4,4283.4
24650,Melton (C),141749,148896,527.5,282.2
24780,Mildura (RC),54564,55071,22082.5,2.5
24850,Mitchell (S),41632,42795,2862.1,15
24900,Moira (S),29306,29465,4046.4,7.3
24970,Monash (C),192850,196789,81.5,2415.1
25060,Moonee Valley (C),122968,125425,43.1,2907.5
25150,Moorabool (S),32658,33418,2110.6,15.8
25250,Moreland (C),172091,176589,51,3465.8
25340,Mornington Peninsula (S),160862,163151,724.2,225.3
25430,Mount Alexander (S),18966,19171,1529.6,12.5
25490,Moyne (S),16693,16741,5481.7,3.1
25620,Murrindindi (S),13993,14167,3879.8,3.7
25710,Nillumbik (S),64280,64720,432.3,149.7
25810,Northern Grampians (S),11577,11498,5729.9,2
25900,Port Phillip (C),108558,110397,20.7,5330.8
25990,Pyrenees (S),7301,7347,3434.6,2.1
26080,Queenscliffe (B),2904,2934,8.6,340.5
26170,South Gippsland (S),28936,29124,3296.3,8.8
26260,Southern Grampians (S),16066,16051,6654,2.4
26350,Stonnington (C),111606,114138,25.7,4449.6
26430,Strathbogie (S),10329,10455,3303.3,3.2
26490,Surf Coast (S),30445,31324,1552.9,20.2
26610,Swan Hill (RC),20904,20849,6115.3,3.4
26670,Towong (S),5973,5974,6674.9,0.9
26700,Wangaratta (RC),28559,28824,3645.1,7.9
26730,Warrnambool (C),34245,34555,120.9,285.7
26810,Wellington (S),43465,43747,10817.3,4
26890,West Wimmera (S),3912,3867,9108.2,0.4
26980,Whitehorse (C),170093,173514,64.3,2699.3
27070,Whittlesea (C),207881,216438,489.7,442
27170,Wodonga (C),39844,40564,432.7,93.7
27260,Wyndham (C),228088,241902,542.1,446.2
27350,Yarra (C),93380,96368,19.5,4931.2
27450,Yarra Ranges (S),155312,156982,2468.2,63.6
27630,Yarriambiack (S),6738,6673,7325.8,0.9
29399,Unincorporated Vic,887,897,283,3.2
